max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
4249.674,0.191,2.449,0.232,0.336,8.275,2659.644,0.391,1.47,0.25,36.179,1234.668,0.58,0.993,11.0,1.095,1.75,4.254
5165.51,0.15,1.701,0.35,0.4,10.0,2543.564,0.263,3.5,0.25,35.5,1500.0,0.2,1.426,5.0,0.888,1.65,4.958
4227.492,0.122,1.012,0.284,0.5,8.718,2313.686,0.254,1.488,0.25,33.718,1500.0,0.575,1.126,9.0,1.035,1.6,5.745
5800.0,0.15,1.079,0.369,0.419,10.0,2404.0,0.364,1.353,0.224,33.426,1450.07,0.613,1.158,8.0,1.031,1.65,5.058
5364.772,0.186,1.511,0.381,0.5,9.501,2477.689,0.358,3.5,0.2,35.5,1200.274,0.245,1.3,9.0,0.955,1.75,4.268
5800.0,0.15,2.0,0.328,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.063,1.724,1.0,0.763,1.5,5.394
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1471.724,0.019,1.776,1.0,0.74,1.5,5.352
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.288,1500.0,0.006,1.783,1.0,0.74,1.5,5.259
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1510.289,0.007,1.784,1.0,0.74,1.5,5.241
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1487.349,0.008,1.786,1.0,0.74,1.5,5.265
5800.0,0.15,1.913,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.281,1500.0,0.043,1.744,2.0,0.754,1.5,5.396
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.712,1500.0,0.006,1.825,1.0,0.72,1.5,5.189
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.276,3.5,0.25,35.5,1500.0,0.08,1.792,1.0,0.734,1.5,5.357
6391.751,0.127,1.414,0.331,0.355,8.877,2611.898,0.338,1.333,0.264,32.393,1252.591,0.619,1.088,12.0,1.063,1.75,4.471
5860.727,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.01,1.827,1.0,0.718,1.5,5.316
5800.0,0.15,1.813,0.325,0.5,10.0,2404.0,0.3,3.5,0.25,35.135,1500.0,0.094,1.714,3.0,0.763,1.55,5.214
5800.0,0.15,2.0,0.334,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.046,1.828,1.0,0.721,1.5,5.335
5800.0,0.15,2.0,0.334,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.046,1.831,1.0,0.719,1.5,5.307
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.242,35.724,1500.0,0.032,1.8,2.0,0.731,1.5,5.321
5800.0,0.15,1.875,0.35,0.5,10.0,2404.0,0.341,3.5,0.25,35.5,1500.0,0.137,1.754,2.0,0.746,1.5,5.398
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1467.972,0.021,1.854,1.0,0.71,1.5,5.32
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.203,1500.0,0.008,1.865,1.0,0.703,1.5,5.387
