max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
4683.89,0.116,2.311,0.269,0.59,11.245,2606.698,0.309,2.937,0.253,32.722,1379.371,0.231,2.006,10.0,0.596,1.45,4.525
4633.205,0.173,1.962,0.291,0.419,10.274,2572.312,0.313,3.587,0.258,31.847,1215.487,0.201,2.113,9.0,0.548,1.45,4.578
5733.756,0.161,1.781,0.327,0.431,10.584,2681.243,0.241,2.821,0.263,35.943,1260.241,0.197,2.242,12.0,0.547,1.4,4.762
4974.459,0.193,2.267,0.31,0.561,8.681,2613.261,0.286,1.341,0.281,32.136,1220.511,0.617,0.96,11.0,1.099,1.8,3.792
4774.009,0.185,2.984,0.323,0.539,11.463,2630.213,0.42,1.046,0.254,32.988,1264.01,0.701,0.762,11.0,1.211,1.85,4.298
4900.426,0.151,2.06,0.286,0.469,9.4,2429.291,0.317,3.518,0.241,32.273,1471.407,0.183,3.027,8.0,0.348,1.05,6.165
4782.063,0.12,1.073,0.248,0.582,10.863,2694.63,0.364,1.781,0.245,32.027,1259.86,0.491,1.22,11.0,1.003,1.75,4.238
6694.652,0.155,1.798,0.322,0.593,11.1,2399.29,0.311,3.426,0.227,33.704,1277.619,0.186,2.72,8.0,0.402,1.2,5.129
4815.229,0.183,1.762,0.388,0.392,8.436,2624.186,0.32,2.536,0.239,32.984,1293.232,0.275,1.855,11.0,0.674,1.5,4.531
6050.559,0.156,2.027,0.308,0.433,10.376,2377.911,0.315,3.223,0.214,34.875,1345.55,0.144,2.863,9.0,0.377,1.15,5.163
5783.83,0.125,1.714,0.347,0.415,8.142,2370.447,0.347,3.805,0.249,32.231,1267.68,0.186,2.322,9.0,0.523,1.35,5.063
4917.371,0.196,2.925,0.265,0.593,11.834,2320.557,0.309,1.032,0.273,31.78,1205.445,0.705,0.737,11.0,1.225,1.85,4.642
4461.016,0.14,2.031,0.363,0.497,8.491,2581.249,0.365,1.606,0.243,32.874,1482.99,0.541,2.047,8.0,0.6,1.35,4.859
4738.36,0.152,2.01,0.346,0.502,10.95,2177.959,0.456,3.542,0.266,35.624,1620.27,0.52,3.283,6.0,0.291,1.05,5.897
6213.274,0.143,1.281,0.255,0.378,8.442,2404.025,0.216,2.12,0.249,33.566,1377.223,0.394,1.847,9.0,0.724,1.5,4.723
4591.348,0.134,1.907,0.278,0.594,8.351,2424.48,0.413,1.051,0.281,34.938,1264.642,0.7,0.715,12.0,1.282,1.9,3.782
4977.282,0.15,1.937,0.338,0.473,9.233,2157.123,0.313,3.29,0.287,33.577,1383.579,0.148,3.146,8.0,0.311,1.05,6.108
5362.774,0.158,1.318,0.341,0.489,11.187,2694.775,0.426,1.207,0.212,32.636,1367.244,0.655,1.246,10.0,0.973,1.65,4.336
4586.995,0.155,2.306,0.338,0.387,10.302,2632.808,0.298,2.513,0.228,31.859,1280.128,0.282,2.073,9.0,0.565,1.45,4.6
4246.477,0.15,2.967,0.32,0.59,8.186,2325.199,0.371,1.023,0.253,34.296,1476.073,0.708,0.804,10.0,1.187,1.75,4.716
4590.123,0.144,2.075,0.3,0.426,11.054,2663.604,0.302,3.163,0.254,34.402,1223.275,0.209,2.085,8.0,0.569,1.45,4.457
4733.922,0.166,1.847,0.262,0.57,10.873,2514.557,0.256,1.008,0.201,32.219,1595.935,0.712,0.634,12.0,1.287,1.85,4.611
6101.892,0.195,1.369,0.354,0.376,9.9,2585.277,0.378,3.068,0.276,35.224,1247.535,0.316,1.703,10.0,0.776,1.55,4.597
5713.073,0.146,1.928,0.347,0.597,10.057,2063.531,0.278,3.61,0.274,35.619,1350.696,0.194,3.32,5.0,0.267,1.05,5.602
5939.216,0.128,2.069,0.342,0.515,10.278,2488.833,0.336,3.819,0.277,35.502,1611.142,0.147,3.165,8.0,0.307,1.1,5.623
