max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
5800.0,0.11,1.467,0.22,0.366,10.0,2476.25,0.3,1.746,0.25,34.018,1259.224,0.501,1.601,8.0,0.823,1.6,4.601
5340.753,0.17,1.233,0.233,0.352,10.919,2359.56,0.3,1.186,0.237,33.338,1379.57,0.661,1.551,11.0,0.851,1.55,4.748
6045.585,0.181,1.07,0.219,0.572,8.719,2507.482,0.469,1.545,0.277,31.929,1500.0,0.563,1.652,11.0,0.792,1.5,4.983
5771.382,0.15,1.284,0.207,0.446,9.528,2404.0,0.3,3.5,0.227,32.501,1329.766,0.409,1.97,8.0,0.668,1.45,4.871
4664.818,0.15,1.543,0.282,0.345,10.0,2404.0,0.357,1.229,0.291,35.5,1459.671,0.649,1.901,8.0,0.706,1.45,5.153
5800.0,0.15,1.561,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1485.571,0.22,2.463,2.0,0.503,1.3,5.382
5800.0,0.105,1.407,0.35,0.413,8.526,2404.0,0.3,3.5,0.25,35.5,1500.0,0.3,2.333,4.0,0.569,1.35,5.194
5800.0,0.15,2.0,0.35,0.5,10.0,2442.275,0.3,3.5,0.25,35.5,1500.0,0.016,2.638,1.0,0.437,1.25,5.472
5800.0,0.136,1.491,0.277,0.445,10.5,2404.0,0.355,2.927,0.276,35.5,1500.0,0.254,2.216,8.0,0.597,1.4,5.295
6040.968,0.133,1.278,0.22,0.432,9.368,2593.944,0.24,1.251,0.226,32.421,1626.335,0.643,1.807,12.0,0.741,1.45,5.26
5482.721,0.15,1.605,0.35,0.465,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.198,2.499,3.0,0.492,1.3,5.375
5800.0,0.138,2.0,0.35,0.469,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.08,2.616,2.0,0.458,1.25,5.426
5800.0,0.15,2.0,0.35,0.473,10.0,2404.0,0.3,3.5,0.25,35.5,1488.373,0.054,2.641,2.0,0.45,1.25,5.459
5800.0,0.15,1.679,0.298,0.449,10.0,2404.0,0.3,3.5,0.25,35.117,1500.0,0.16,2.486,4.0,0.5,1.3,5.417
5264.856,0.168,1.575,0.35,0.43,10.0,2404.0,0.3,2.821,0.25,34.604,1500.0,0.213,2.359,6.0,0.535,1.35,5.399
5800.0,0.15,2.0,0.35,0.475,10.433,2404.0,0.3,3.5,0.25,35.5,1500.0,0.05,2.65,2.0,0.446,1.25,5.46
5800.0,0.15,2.0,0.35,0.5,10.0,2430.497,0.3,3.5,0.258,35.5,1500.0,0.032,2.667,2.0,0.428,1.25,5.345
5800.0,0.15,1.549,0.35,0.5,9.318,2241.965,0.3,3.5,0.25,35.5,1500.0,0.226,2.513,3.0,0.503,1.3,5.669
5800.0,0.15,1.805,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.098,2.688,1.0,0.432,1.2,5.421
5800.0,0.169,1.401,0.381,0.442,11.655,2160.884,0.231,2.058,0.25,34.454,1225.251,0.412,2.075,10.0,0.635,1.45,5.029
5800.0,0.15,1.809,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.096,2.699,1.0,0.425,1.2,5.352
5800.0,0.15,1.811,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.095,2.706,1.0,0.422,1.2,5.373
5384.93,0.15,2.0,0.35,0.406,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.188,2.608,2.0,0.455,1.25,5.473
5800.0,0.15,2.0,0.35,0.473,10.0,2404.0,0.3,3.5,0.25,35.257,1500.0,0.054,2.684,2.0,0.435,1.25,5.502
5800.0,0.15,1.843,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.079,2.721,1.0,0.425,1.2,5.594
5800.0,0.15,2.0,0.35,0.476,10.0,2404.0,0.3,3.241,0.25,35.5,1500.0,0.074,2.679,2.0,0.43,1.25,5.492
5800.0,0.15,1.842,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.079,2.728,1.0,0.42,1.2,5.38
5800.0,0.15,1.84,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.08,2.744,1.0,0.417,1.2,5.575
5800.0,0.15,1.842,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.079,2.745,1.0,0.417,1.2,5.414
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.731,1500.0,0.007,2.787,1.0,0.406,1.2,5.548
5800.0,0.15,1.834,0.35,0.439,10.0,2404.0,0.3,3.5,0.26,35.5,1500.0,0.122,2.627,3.0,0.454,1.25,5.553
5800.0,0.126,1.462,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.269,2.603,2.0,0.467,1.3,5.37
5800.0,0.131,1.523,0.374,0.411,10.854,2404.0,0.3,3.734,0.274,35.071,1500.0,0.239,2.323,8.0,0.555,1.35,4.95
5800.0,0.15,1.877,0.35,0.5,10.0,2531.349,0.3,3.5,0.25,35.5,1500.0,0.061,2.721,2.0,0.417,1.2,5.324
5514.211,0.168,1.643,0.35,0.434,10.0,2404.0,0.3,3.5,0.25,34.142,1500.0,0.178,2.509,5.0,0.482,1.3,5.335
5800.0,0.15,2.0,0.303,0.406,10.631,2531.084,0.248,3.5,0.25,35.5,1500.0,0.188,2.506,5.0,0.484,1.3,5.295
5800.0,0.15,1.81,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.287,1500.0,0.095,2.706,2.0,0.428,1.2,5.415
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1472.878,0.018,2.805,1.0,0.396,1.2,5.38
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.735,1500.0,0.007,2.811,1.0,0.399,1.2,5.456
5800.0,0.137,1.711,0.35,0.458,10.0,2404.0,0.3,3.715,0.25,35.5,1500.0,0.144,2.59,4.0,0.463,1.3,5.378
5800.0,0.178,1.746,0.263,0.41,10.0,2523.646,0.259,3.087,0.25,35.5,1480.947,0.249,2.338,8.0,0.538,1.35,5.317
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1433.769,0.044,2.797,1.0,0.396,1.2,5.529
5800.0,0.15,1.802,0.35,0.5,10.0,2464.32,0.3,3.5,0.25,35.242,1500.0,0.099,2.668,3.0,0.434,1.25,5.322
5800.0,0.15,2.0,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1449.613,0.034,2.803,1.0,0.395,1.2,5.531
5860.78,0.15,1.78,0.35,0.5,10.0,2404.0,0.3,3.5,0.25,35.743,1500.0,0.11,2.663,3.0,0.437,1.25,5.356
6111.82,0.15,2.0,0.317,0.331,10.0,2691.672,0.219,1.552,0.25,35.5,1623.802,0.557,2.222,7.0,0.571,1.35,5.105
5800.0,0.15,2.0,0.35,0.5,10.0,2431.359,0.3,3.5,0.25,35.5,1500.0,0.011,2.816,1.0,0.39,1.2,5.539
5800.0,0.15,2.0,0.35,0.449,10.0,2488.171,0.3,3.5,0.25,35.5,1500.0,0.102,2.718,2.0,0.418,1.2,5.36
5800.0,0.15,2.0,0.331,0.5,10.0,2404.0,0.3,3.5,0.25,35.5,1500.0,0.054,2.797,1.0,0.401,1.2,5.537
5800.0,0.15,2.0,0.35,0.5,10.19,2404.0,0.3,3.5,0.25,35.5,1500.0,0.019,2.816,1.0,0.393,1.2,5.538
4745.173,0.171,1.152,0.388,0.5,11.041,2558.863,0.3,1.459,0.27,32.542,1227.368,0.583,1.172,10.0,1.018,1.7,4.28
6185.265,0.194,1.252,0.253,0.44,11.575,2217.038,0.325,2.348,0.25,35.5,1302.645,0.374,1.898,10.0,0.719,1.55,5.148
