mass,wheel_mass,wheel_radius,MaxRPM,MinRPM,MaxBrakeTorque,MaxMotorTorque,MaxSteeringAngle,TireDragCoeff,WheelDamping,ShiftTime,TractionControlSlipLimit,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
2475.586,29.234,0.384,8269.709,797.448,2519.047,447.234,38.998,4.046,0.977,0.403,0.785,0.168,6.391,3,3.162,3.6,-1.649
2328.677,29.544,0.39,8270.497,802.519,2707.35,447.382,37.925,3.956,0.976,0.402,0.785,0.114,4.782,4,4.948,4,-1.656
2403.463,31.54,0.357,8310.145,803.349,2504.516,447.251,39.113,4.075,0.977,0.403,0.785,0.165,8.159,2,1.682,3,-1.81
2222.365,30.027,0.362,8276.166,822.111,2805.505,444.37,39.07,4.04,0.969,0.397,0.816,0.065,10.005,5,1.019,2.4,-1.929
2264.165,29.523,0.367,8309.831,807.906,2797.945,447.191,39.598,4.04,0.977,0.379,0.785,0.068,9.624,3,1.239,2.6,-2.103
2262.437,29.575,0.368,8011.477,793.976,2798.176,447.306,38.999,4.04,0.977,0.379,0.785,0.067,9.96,4,0.739,2.4,-1.753
2270.91,29.575,0.368,8016.751,769.738,2805.602,447.289,38.999,4.04,0.977,0.379,0.785,0.071,9.256,5,1.321,2.6,-1.89
2264.165,29.216,0.354,8270.035,807.906,2798.083,448.251,39.084,4.04,0.969,0.404,0.785,0.068,9.903,2,0.92,2.4,-1.942
2408.662,29.208,0.384,8269.709,797.448,2519.047,447.234,39.087,4.075,0.977,0.403,0.785,0.16,7.447,3,2.141,3.2,-1.791
2404.13,29.209,0.387,8271.269,793.351,2588.169,447.945,39.088,4.075,0.949,0.404,0.796,0.137,7.504,3,2.132,3.2,-1.709
2403.455,31.54,0.357,8310.145,803.349,2710.461,447.251,39.457,4.075,0.977,0.377,0.785,0.134,9.009,2,1.343,2.8,-1.7
2277.584,29.543,0.363,8301.898,803.364,2773.81,444.198,39.449,4.04,0.976,0.402,0.795,0.075,6.886,4,2.851,3.2,-1.848
2364.061,29.215,0.354,8309.511,807.918,2711.33,447.256,39.451,3.948,0.949,0.404,0.785,0.115,9.377,2,1.27,2.6,-1.988
2267.667,29.52,0.381,8311.824,803.385,2797.379,447.195,39.454,4.076,0.978,0.384,0.779,0.089,8.886,3,1.49,2.6,-1.843
2277.136,29.577,0.368,8274.197,803.311,2763.288,448.436,38.999,4.04,0.976,0.379,0.784,0.079,9.196,3,1.323,2.6,-2.077
2336.562,30.158,0.384,8269.709,797.415,2706.636,447.385,38.998,4.046,0.977,0.403,0.785,0.102,8.186,3,1.65,2.8,-1.807
2331.083,29.544,0.389,8266.067,803.349,2707.522,447.386,38.648,4.044,0.975,0.402,0.795,0.111,8.096,3,1.474,3,-1.658
2468.282,29.234,0.387,8304.233,797.689,2539.62,447.864,38.998,4.045,0.978,0.385,0.784,0.164,7.221,3,2.355,3.4,-1.769
2362.57,29.215,0.385,8267.75,804.712,2592.755,447.951,39.086,3.958,0.974,0.379,0.785,0.136,7.746,3,1.797,3,-1.682
2264.516,31.54,0.357,8310.145,803.349,2712.117,447.251,39.454,4.095,0.953,0.377,0.785,0.096,9.892,2,0.883,2.4,-1.782
2277.146,29.578,0.369,8272.042,803.311,2707.425,447.232,38.999,4.04,0.976,0.379,0.784,0.098,8.58,3,1.672,2.6,-1.827
2404.501,29.212,0.387,8309.535,793.351,2684.679,447.945,39.579,4.04,0.949,0.38,0.785,0.134,7.994,3,1.628,3,-1.66
2329.241,29.23,0.378,8270.913,800.243,2707.486,448.373,39.454,4.046,0.956,0.403,0.802,0.099,8.482,3,1.422,2.8,-1.678
2468.52,29.24,0.355,8267.588,803.349,2592.553,447.254,39.464,4.046,0.977,0.378,0.785,0.164,8.415,2,1.506,2.8,-1.805
2260.799,29.532,0.368,8484.923,803.349,2795.145,447.277,39.451,4.075,0.95,0.403,0.785,0.068,9.382,4,1.191,2.6,-1.875
2277.843,29.523,0.355,8309.812,803.349,2707.536,447.253,39.451,4.04,0.95,0.403,0.785,0.097,9.758,2,0.869,2.4,-1.682
2279.478,29.523,0.368,8309.812,803.349,2707.536,447.277,39.451,4.04,0.95,0.403,0.785,0.097,8.793,3,1.483,2.8,-1.807
2277.136,29.578,0.368,8272.531,803.311,2783.344,448.436,38.999,4.04,0.976,0.379,0.784,0.074,9.251,3,1.307,2.6,-1.852
2265.54,29.524,0.368,8308.2,803.334,2795.437,448.393,39.496,4.04,0.977,0.405,0.785,0.069,9.334,3,1.302,2.6,-1.87
2270.91,29.578,0.368,8016.751,803.311,2790.47,448.436,38.999,4.04,0.977,0.379,0.784,0.071,9.27,4,1.377,2.6,-1.878
2478.483,51.249,0.39,8858.741,805.675,2502.635,475.499,38.808,4.015,0.692,0.434,0.802,0.708,-0.296,8,5.3,4.4,-1.52
2416.353,28.636,0.354,8989.78,803.602,2505.153,452.148,39.822,3.962,1.03,0.397,0.789,0.165,7.898,3,1.833,3,-1.842
2461.745,32.377,0.389,8147.111,831.516,2506.031,426.883,40.997,4.093,0.986,0.441,0.831,0.165,6.665,10,2.667,3.6,-1.647
2499.733,53.854,0.39,9359.887,803.572,2505.433,451.948,38.811,4.114,1.02,0.43,0.802,0.795,5.974,5,2.568,3.6,-1.308
2367.836,28.835,0.39,8753.497,803.592,2597.416,452.152,40.159,4.007,1.021,0.431,0.802,0.134,7.635,4,1.766,3,-1.649
2402.967,28.838,0.353,9378.174,803.601,2588.132,451.535,39.36,4.096,1.02,0.401,0.8,0.137,8.534,3,1.467,2.8,-1.828
2499.174,51.505,0.39,8718.833,803.491,2505.144,451.029,38.876,4.006,0.986,0.433,0.802,0.717,5.624,6,2.976,4,-1.405
2499.174,51.205,0.39,9310.497,803.491,2505.486,451.029,38.876,4.009,0.986,0.433,0.802,0.707,5.761,6,2.523,3.8,-1.198
2499.173,38.695,0.39,8709.498,801.851,2505.224,451.082,39.979,4.006,0.947,0.413,0.802,0.29,6.384,5,2.636,3.6,-1.534
2499.733,44.519,0.39,8653.352,804.114,2500.552,452.025,38.771,4.019,0.985,0.395,0.801,0.484,6.194,5,2.307,3.8,-1.288
2499.173,44.633,0.39,8709.547,801.851,2505.224,451.082,40.065,4.006,0.947,0.413,0.802,0.488,6.03,5,2.754,3.8,-1.546
2365.027,28.833,0.39,9330.028,803.6,2597.516,452.121,39.99,4.007,1.021,0.432,0.796,0.134,7.516,5,2.157,3,-1.853
2460.551,32.377,0.389,8147.111,809.509,2506.031,426.883,40.997,4.082,0.986,0.441,0.831,0.165,6.849,9,2.537,3.6,-1.678
2461.522,33.303,0.389,8150.099,807.722,2562.336,451.999,41.141,4.094,0.986,0.42,0.808,0.161,7.283,6,1.985,3.4,-1.574
2416.716,32.364,0.389,8823.121,803.631,2546.176,451.284,39.964,4.461,0.962,0.403,0.831,0.151,7.185,7,2.312,3.4,-1.651
2405.801,32.375,0.389,8148.998,831.945,2534.092,428.019,40.997,4.093,0.998,0.401,0.836,0.155,7.178,9,2.257,3.4,-1.742
2499.18,44.613,0.39,8703.584,783.755,2502.772,450.775,39.273,4.006,0.986,0.432,0.802,0.487,6.058,7,2.704,3.6,-1.416
2499.733,28.636,0.39,9365.336,803.6,2505.569,452.858,38.811,4.016,1.02,0.395,0.801,0.179,6.62,4,2.804,3.6,-1.818
