mass,wheel_mass,wheel_radius,MaxRPM,MinRPM,MaxBrakeTorque,MaxMotorTorque,MaxSteeringAngle,TireDragCoeff,WheelDamping,ShiftTime,TractionControlSlipLimit,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
2454.336,59.569,0.346,9260.725,917.634,2976.247,448.801,47.212,3.921,0.837,0.395,0.795,0.986,9.618,7,1.143,2.4,-1.968
2379.609,29.715,0.351,7784.785,688.442,3112.932,538.052,34.237,3.43,1.165,0.412,0.825,0.196,10.172,9,0.593,2.2,-1.728
2487.71,50.364,0.365,7447.233,1021.244,2533.923,506.263,42.024,4.241,0.899,0.369,0.725,0.679,7.298,11,2.03,3.2,-1.704
2449.547,27.961,0.346,8500.343,884.919,2946.693,412.394,35.689,4.651,1.093,0.432,0.794,0.163,9.909,10,0.869,2.4,-1.752
2437.874,33.878,0.389,11268.532,795.797,2991.002,493.138,38.286,3.988,1.33,0.43,0.689,0.358,9.602,8,0.951,2.4,-1.833
2442.697,30.575,0.369,10486.781,606.58,2681.654,432.289,45.518,4.496,1.006,0.455,0.882,0.264,8.77,10,1.219,2.8,-1.713
2212.128,31.495,0.34,6588.13,777.53,2525.129,508.292,39.99,3.834,1.033,0.423,0.765,0.206,9.799,8,1.056,2.4,-1.895
2394.328,43.519,0.36,10248.397,981.56,2500.251,451.451,32.15,4.722,1.401,0.422,0.791,0.451,7.996,9,1.504,2.8,-1.542
2488.779,34.757,0.364,9839.023,970.709,2527.047,519.187,39.672,4.29,0.776,0.51,0.817,0.275,7.774,10,1.535,3,-1.633
2406.185,57.593,0.351,10218.612,802.5,3024.443,502.336,39.849,3.5,0.548,0.371,0.822,0.92,9.875,7,0.986,2.4,-1.942
2372.17,45.18,0.389,10412.092,827.933,2549.6,534.156,33.311,4.796,1.006,0.424,0.876,0.506,7.583,10,1.611,3.2,-1.53
2432.121,31.301,0.345,9544.05,813.449,2598.15,479.662,47.037,3.938,1.047,0.206,0.662,0.485,8.638,8,1.381,2.8,-1.762
2464.13,29.699,0.37,11975.532,618.07,2554.913,518.148,39.87,2.898,1.352,0.506,0.654,0.443,7.716,10,1.819,3.2,-1.593
2469.389,42.135,0.387,12840.691,930.207,2539.753,454.775,30.408,4.308,0.666,0.297,0.867,0.547,7.209,12,1.947,3.4,-1.662
2492.64,31.535,0.377,8691.499,1022.797,2515.404,525.309,41.623,3.186,1.079,0.202,0.895,0.495,7.686,11,1.653,3.2,-1.464
2478.646,31.444,0.352,7834.587,763.224,2516.931,498.053,30.866,3.902,1.204,0.276,0.758,0.31,8.089,9,1.642,3,-1.711
2417.958,47.214,0.383,11878.225,1065.759,2524.224,409.568,38.838,4.359,1.049,0.248,0.681,0.574,7.315,10,1.998,3.2,-1.53
2473.281,44.108,0.389,7093.796,722.654,2598.871,495.139,38.427,2.359,0.486,0.526,0.806,0.514,7.455,11,1.711,3.2,-1.51
2450.676,28.041,0.366,6662.839,871.321,2672.773,468.531,35.962,3.319,0.868,0.389,0.912,0.197,8.613,11,1.412,2.8,-1.765
2326.646,36.953,0.381,12442.396,688.391,2514.323,500.86,38.009,4.019,1.361,0.558,0.664,0.499,7.68,11,1.68,3,-1.658
2180.47,28.923,0.32,6968.499,802.023,2867.646,451.877,38.052,4.732,0.949,0.403,0.806,0.183,10.294,6,0.598,2.2,-2.007
2472.957,57.477,0.389,7877.182,666.873,2558.894,538.16,37.241,2.266,1.141,0.552,0.773,0.916,6.67,12,1.934,3.4,-1.315
2461.735,46.511,0.345,9453.429,808.34,2665.438,535.347,40.747,2.616,0.806,0.427,0.803,0.55,8.355,8,1.439,2.6,-1.673
2288.29,33.748,0.38,6948.254,882.391,2885.646,452.384,40.934,4.859,0.986,0.365,0.843,0.215,9.791,10,0.95,2.4,-1.792
2484.222,27.253,0.344,6054.765,892.329,2579.05,434.789,30.561,3.585,1.142,0.397,0.817,0.27,8.809,9,1.277,2.6,-1.83
2497.798,33.099,0.384,6804.225,1091.276,2520.466,407.359,33.05,2.163,0.929,0.293,0.754,0.459,7.313,12,1.948,3.4,-1.472
2415.918,37.617,0.355,8740.057,771.549,2526.98,420.761,40.047,4.247,0.968,0.521,0.743,0.302,8.641,9,1.311,2.8,-1.811
2410.644,31.206,0.36,7674.395,776.386,2798.834,434.331,43.738,4.46,1.25,0.493,0.804,0.25,9.571,10,1.127,2.4,-1.975
2479.17,55.91,0.379,7631.454,998.173,2530.046,428.527,49.005,3.759,0.404,0.479,0.708,0.864,7.016,12,1.974,3.4,-1.436
2476.755,56.101,0.385,10161.161,605.376,2523.031,470.216,47.061,4.324,1.002,0.593,0.89,0.87,6.725,11,1.962,3.4,-1.418
2440.99,46.148,0.381,10389.433,601.847,2509.38,495.605,41.106,2.012,0.923,0.593,0.656,0.538,7.257,12,1.92,3.4,-1.538
2454.342,33.937,0.372,8776.318,770.31,2670.544,430.93,35.706,4.889,0.913,0.36,0.945,0.222,8.066,12,1.649,3,-1.656
2317.486,29.786,0.367,10434.031,614.217,2502.022,420.117,36.086,3.586,1.27,0.492,0.93,0.27,8.36,11,1.404,2.8,-1.624
2157.809,29.966,0.369,8103.682,879.187,2810.116,417.243,34.488,4.129,1.002,0.407,0.664,0.17,10.015,9,0.948,2.4,-1.989
2453.662,32.426,0.35,11413.38,997.973,2507.757,528.647,40.126,2.678,0.963,0.523,0.791,0.375,7.776,8,1.806,2.8,-1.651
2465.745,27.658,0.388,11417.301,1036.274,2584.116,450.667,47.379,2.941,0.905,0.521,0.787,0.376,7.524,10,1.905,3.2,-1.609
2482.198,28.89,0.386,7780.262,757.089,2500.512,423.76,46.957,4.07,1.394,0.416,0.785,0.394,7.279,8,1.975,3.4,-1.468
2463.259,48.979,0.38,11363.698,1078.861,2556.302,474.877,37.874,4.815,1.047,0.258,0.894,0.633,6.856,11,2.341,3.4,-1.57
2468.265,36.261,0.347,7640.366,934.324,2515.94,541.593,49.194,4.761,0.942,0.425,0.849,0.249,7.949,10,1.525,3,-1.594
2136.607,29.28,0.352,10791.868,830.985,2599.555,447.628,31.942,4.996,1.295,0.404,0.881,0.3,9.958,8,0.746,2.2,-1.802
2447.214,34.289,0.383,8809.662,698.701,2687.999,508.606,32.389,4.083,1.037,0.396,0.869,0.178,7.992,9,1.586,3,-1.62
2419.613,29.682,0.345,8249.063,925.015,3088.889,532.539,39.159,4.203,1.343,0.421,0.907,0.343,10.185,7,0.596,2.2,-1.82
2495.856,55.165,0.388,10244.257,815.687,2503.328,521.093,44.497,4.821,0.28,0.528,0.725,0.839,6.283,12,2.101,3.6,-1.307
2124.288,31.086,0.333,7003.131,699.569,2514.178,518.347,47.34,4.077,1.24,0.383,0.899,0.24,10.069,8,0.798,2.2,-1.792
2124.9,34.96,0.319,9331.974,983.484,2837.769,441.957,45.856,3.225,0.991,0.393,0.788,0.229,10.306,8,0.761,2.2,-2.02
2412.501,34.055,0.333,7326.793,770.504,2528.04,488.797,40.042,3.872,1.049,0.445,0.77,0.157,9.53,10,0.991,2.4,-1.813
2124.906,30.381,0.352,9028.675,766.068,2992.21,486.753,38.916,4.096,1.254,0.379,0.807,0.254,10.268,4,1.08,2.2,-2.054
2384.702,24.844,0.387,9772.248,635.19,2515.706,452.454,33.404,3.417,1.281,0.534,0.874,0.335,7.672,11,1.869,3.2,-1.773
2289.452,36.021,0.35,8223.428,719.791,2743.048,448.561,30.796,2.523,0.929,0.416,0.795,0.369,9.873,8,0.776,2.4,-1.744
2362.374,33.664,0.313,7622.41,924.264,2630.891,437.783,37.855,4.292,1.14,0.399,0.81,0.155,10.062,10,1.134,2.4,-1.963
2443.021,51.891,0.39,10730.825,721.365,2524.069,429.353,31.575,2.961,1.023,0.56,0.899,0.73,7.086,11,1.794,3.4,-1.418
2060.59,33.103,0.343,8502.004,709.17,2892.412,518.815,43.993,4.011,0.875,0.388,0.857,0.153,10.252,9,0.601,2.2,-1.93
2375.112,49.198,0.344,6509.788,965.967,2554.322,496.538,31.808,3.954,0.702,0.425,0.732,0.64,8.356,9,1.435,2.8,-1.696
2178.358,28.308,0.376,8148.717,916.048,2510.447,439.297,49.328,4.018,1.085,0.275,0.79,0.312,8.707,10,1.344,2.6,-1.802
2117.374,34.522,0.353,8238.206,1083.176,2592.687,408.79,39.755,4.969,1.044,0.263,0.865,0.354,10.003,7,0.847,2.4,-1.974
2178.835,29.381,0.386,9045.391,850.658,2552.363,526.564,30.685,4.682,0.865,0.43,0.672,0.221,9.155,10,1.027,2.6,-1.782
2460.964,24.302,0.35,10716.536,968.741,2590.138,433.447,35.648,3.819,0.985,0.3,0.868,0.291,8.929,10,1.259,2.8,-1.745
2496.323,29.491,0.385,6906.482,870.052,2537.624,462.642,41.011,2.559,1.356,0.532,0.887,0.36,7.428,11,1.926,3.4,-1.576
2276.418,59.161,0.377,8236.126,758.497,2545.763,426.847,38.995,4.896,0.521,0.3,0.782,0.972,7.716,9,1.781,3,-1.724
2159.109,32.936,0.364,9159.218,917.054,2615.835,532.47,46.215,3.776,1.195,0.369,0.913,0.195,9.696,11,0.94,2.4,-1.815
2207.843,31.664,0.374,8570.692,722.793,2793.497,486.935,32.811,3.565,0.847,0.438,0.928,0.167,9.83,12,0.939,2.4,-1.752
2477.97,33.7,0.335,10188.497,729.77,2595.883,532.513,38.689,2.31,0.955,0.386,0.932,0.422,8.897,9,1.313,2.8,-1.691
2484.65,30.803,0.356,6986.989,717.184,2623.222,482.001,38.843,3.966,0.562,0.345,0.833,0.438,8.789,8,1.297,2.8,-1.649
2293.115,34.651,0.367,9009.205,773.745,2544.468,507.143,49.218,4.925,1.021,0.434,0.838,0.249,8.545,11,1.354,2.8,-1.609
2345.342,47.446,0.356,6053.807,801.193,2856.347,447.265,32.43,4.057,1.133,0.264,0.779,0.582,9.824,7,0.917,2.4,-2.073
2433.889,34.916,0.341,9465.234,846.618,2592.615,455.78,44.47,3.064,1.165,0.422,0.774,0.234,8.996,11,1.183,2.8,-1.704
2463.424,28.755,0.366,9289.826,735.901,2529.136,440.566,40.169,2.363,0.76,0.543,0.767,0.409,7.916,10,1.583,3,-1.622
2481.788,30.656,0.312,6696.435,947.386,2586.897,408.424,32.173,4.012,0.95,0.411,0.656,0.193,9.766,8,1.174,2.6,-1.867
2488.59,37.488,0.371,8244.341,740.72,2737.358,541.082,49.226,4.625,0.751,0.48,0.742,0.25,8.462,11,1.317,3,-1.664
2406.459,30.388,0.351,8344.289,600.773,2764.623,452.936,45.86,2.684,1.403,0.362,0.822,0.403,9.472,8,1.247,2.6,-1.865
2317.845,41.817,0.386,9429.831,1067.147,2541.696,546.38,38.033,4.574,1.178,0.406,0.779,0.394,7.928,10,1.367,3,-1.418
2377.655,38.862,0.352,8245,942.108,2606.831,497.181,37.992,4.007,1.247,0.345,0.764,0.295,9.187,9,1.093,2.6,-1.724
