max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET
5365.333,0.142,1.673,0.32,0.488,10.446,2693.212,0.314,3.5,0.242,32.55,1276.739,0.163,0.928,9,1.148,1.8
5793.551,0.143,2.03,0.342,0.494,9.842,2563.523,0.287,3.556,0.243,35.658,1504.783,0.066,1.786,1,0.731,1.5
5254.457,0.143,1.03,0.322,0.479,10.038,2678.228,0.303,1.527,0.246,32.568,1222.588,0.564,-2.12,7,0,0
5793.551,0.143,1.921,0.342,0.494,9.842,2453.111,0.288,3.533,0.242,35.645,1509.071,0.047,2.04,3,0.643,1.45
5793.551,0.143,1.921,0.342,0.494,9.842,2453.111,0.299,3.449,0.246,35.658,1504.783,0.047,2.209,1,0.597,1.35
5796.915,0.143,1.101,0.345,0.493,9.859,2678.228,0.303,1.534,0.246,32.71,1223.692,0.562,-1.793,5,0,0
5384.968,0.143,1.112,0.32,0.493,9.941,2678.228,0.279,1.642,0.245,32.55,1230.429,0.531,0.157,7,1.876,2.3
5839.984,0.143,1.1,0.345,0.352,9.855,2677.947,0.287,3.541,0.246,32.665,1222.747,0.45,0.679,6,1.276,1.85
5384.968,0.143,1.108,0.343,0.493,9.941,2678.228,0.303,1.627,0.245,32.55,1225.286,0.535,-2.044,6,0,0
4353.089,0.14,1.465,0.345,0.357,10.501,2677.947,0.294,3.541,0.246,35.434,1222.768,0.286,0.526,7,1.368,1.95
5365.333,0.142,1.898,0.32,0.488,10.043,2654.163,0.314,3.604,0.242,32.55,1507.498,0.104,1.46,7,0.854,1.6
5877.495,0.139,1.291,0.347,0.355,9.855,2696.889,0.302,3.57,0.243,35.344,1214.419,0.355,0.963,6,1.118,1.8
4365.225,0.139,1.296,0.347,0.355,9.855,2693.976,0.304,3.569,0.243,32.634,1214.419,0.352,0.334,7,1.757,2.4
5793.551,0.143,1.921,0.342,0.494,9.842,2453.111,0.288,3.533,0.242,35.315,1504.677,0.047,2.131,2,0.599,1.4
5793.538,0.143,1.88,0.342,0.477,9.842,2666.044,0.289,3.448,0.267,33.717,1486.866,0.109,1.564,5,0.811,1.55
5848.577,0.141,1.882,0.373,0.485,9.843,2464.134,0.288,3.552,0.244,33.738,1504.903,0.066,1.683,6,0.764,1.5
5254.644,0.143,1.776,0.345,0.498,10.002,2695.382,0.309,3.387,0.255,35.46,1310.751,0.126,1.386,4,0.905,1.7
5793.551,0.143,1.469,0.342,0.494,9.842,2687.56,0.287,3.389,0.243,35.376,1501.808,0.265,1.523,2,0.854,1.55
5326.589,0.139,1.77,0.32,0.501,10.495,2690.912,0.314,3.5,0.248,32.554,1321.146,0.119,1.284,8,0.943,1.65
5794.686,0.143,1.449,0.317,0.479,9.988,2689.937,0.288,3.389,0.243,35.365,1211.756,0.275,0.969,4,1.132,1.75
5783.417,0.139,1.576,0.322,0.37,10.448,2698.304,0.309,3.564,0.246,35.939,1216.837,0.26,0.856,8,1.169,1.8
4344.071,0.139,1.596,0.296,0.435,10.446,2694.091,0.309,3.541,0.246,32.624,1224.529,0.251,0.916,9,1.14,1.8
5794.697,0.143,1.433,0.346,0.478,9.997,2678.476,0.311,3.389,0.243,35.39,1211.756,0.283,1.167,3,1.027,1.7
5796.872,0.143,1.112,0.345,0.493,10.049,2678.228,0.303,1.555,0.246,32.554,1298.831,0.556,0.173,5,1.87,2.25
5817.474,0.143,1.579,0.362,0.479,9.855,2696.889,0.311,3.417,0.246,35.336,1214.439,0.211,1.319,3,0.951,1.65
5796.37,0.139,1.857,0.324,0.494,10.448,2440.395,0.303,3.404,0.243,35.597,1510.362,0.074,1.653,6,0.791,1.55
5794.686,0.143,1.512,0.317,0.479,9.988,2689.937,0.288,3.389,0.243,35.365,1211.756,0.244,1.272,4,0.972,1.65
5793.551,0.143,1.883,0.342,0.494,9.842,2463.968,0.287,3.449,0.243,35.658,1504.783,0.058,1.931,2,0.681,1.45
5262.076,0.143,1.776,0.345,0.367,9.997,2697.021,0.309,3.393,0.242,35.818,1225.272,0.266,0.834,7,1.181,1.85
5793.551,0.143,1.897,0.342,0.494,9.842,2453.111,0.288,3.449,0.242,35.645,1504.783,0.051,1.793,3,0.732,1.5
5275.51,0.139,1.755,0.326,0.501,10.281,2690.875,0.309,3.481,0.25,32.44,1226.269,0.182,1.093,8,1.047,1.75
5201.598,0.154,1.953,0.345,0.493,9.862,2679.129,0.301,3.52,0.246,32.568,1287.412,0.142,1.349,4,0.912,1.65
5384.968,0.143,1.112,0.343,0.493,9.941,2678.228,0.303,1.642,0.245,32.55,1230.429,0.531,0.315,6,1.702,2.15
5219.866,0.143,1.776,0.345,0.477,9.859,2695.382,0.305,2.97,0.255,35.46,1310.751,0.151,1.247,5,0.979,1.75
5254.713,0.143,1.776,0.37,0.478,10.003,2690.929,0.339,3.393,0.247,35.39,1316.645,0.13,1.2,6,0.993,1.75
5365.333,0.142,1.673,0.32,0.489,10.446,2693.212,0.314,3.5,0.255,32.55,1276.739,0.163,1.176,8,1.01,1.7
