max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET
4834.774,0.157,1.995,0.35,0.45,8.611,2656.361,0.33,3.843,0.217,32.604,1241.651,0.172,1.527,9,0.819,1.65
5035.226,0.176,1.361,0.27,0.434,11.987,2213.062,0.215,2.568,0.207,32.176,1200.297,0.32,1.214,12,0.995,1.8
5124.578,0.174,1.99,0.354,0.518,8.501,2681.87,0.373,3.672,0.249,34.937,1407.018,0.243,1.687,8,0.766,1.55
4891.692,0.134,1.335,0.256,0.386,11.198,2693.959,0.251,3.708,0.255,34.235,1228.891,0.333,0.424,11,1.407,1.9
6265.54,0.13,1.849,0.308,0.528,11.568,2301.195,0.25,3.294,0.26,32.972,1298.35,0.167,1.721,12,0.742,1.6
6492.089,0.136,2.15,0.312,0.49,10.44,2603.149,0.301,3.713,0.234,32.612,1540.645,0.119,2.012,10,0.631,1.4
6840.651,0.156,1.217,0.336,0.315,11.191,2411.847,0.308,1.019,0.255,36.733,1505.876,0.709,1.442,6,0.9,1.45
6168.79,0.161,2.31,0.398,0.462,10.663,2684.978,0.292,3.036,0.272,33.683,1350.01,0.155,1.983,11,0.64,1.4
6072.307,0.144,2.067,0.359,0.551,11.469,2373.5,0.339,3.466,0.276,35.119,1499.37,0.147,2.226,7,0.592,1.4
4208.124,0.128,1.484,0.292,0.345,11.492,2507.672,0.292,1.182,0.244,33.26,1201.914,0.662,0.652,10,1.312,1.9
4859.055,0.103,1.117,0.244,0.563,11.577,2525.567,0.32,1.388,0.299,33.788,1234.629,0.603,-1.478,11,0,0
5664.443,0.123,1.016,0.36,0.49,9.758,2551.577,0.497,1.849,0.254,32.19,1340.242,0.657,0.908,9,1.171,1.8
5975.118,0.155,2.318,0.31,0.487,11.584,2654.321,0.317,3.654,0.249,35.618,1318.329,0.159,1.859,7,0.694,1.5
4410.14,0.114,1.526,0.397,0.409,10.451,2495.943,0.296,3.344,0.252,34.484,1356.706,0.24,1.306,10,0.944,1.7
4960.885,0.146,2.127,0.391,0.452,11.206,2173.464,0.313,3.53,0.226,36.26,1380.529,0.145,2.746,9,0.424,1.3
4411.456,0.12,1.892,0.366,0.398,8.632,2424.892,0.334,3.339,0.203,35.435,1251.299,0.239,1.279,11,0.954,1.7
4393.172,0.189,1.895,0.28,0.355,11.842,2670.826,0.34,2.559,0.267,32.449,1398.514,0.29,1.274,12,0.934,1.65
4929.863,0.119,1.904,0.304,0.385,9.808,2545.059,0.252,2.72,0.208,35.399,1282.058,0.23,1.333,11,0.93,1.7
4218.472,0.116,1.93,0.34,0.482,8.306,2470.971,0.256,2.904,0.226,36.487,1218.778,0.273,1.487,9,0.855,1.65
6360.633,0.181,2.075,0.312,0.504,9.977,2676.656,0.301,1.698,0.271,35.672,1504.981,0.515,2.044,6,0.624,1.4
4850.909,0.103,1.288,0.254,0.477,8.802,2478.081,0.316,3.414,0.246,32.725,1223.459,0.356,1.234,8,0.998,1.75
4786.794,0.112,1.017,0.318,0.485,9.073,2166.861,0.264,1.106,0.254,35.796,1434.033,0.684,0.463,10,1.648,2.25
4510.765,0.107,1.791,0.254,0.52,10.485,2446.676,0.395,3.419,0.246,34.577,1371.759,0.317,1.351,9,0.924,1.65
4389.208,0.191,1.657,0.243,0.433,10.136,2443.893,0.201,3.04,0.224,33.133,1325.86,0.33,1.24,11,0.967,1.75
5858.342,0.192,1.15,0.341,0.541,9.996,2400.036,0.223,3.441,0.275,33.145,1497.742,0.425,1.578,7,0.828,1.55
4534.131,0.177,1.344,0.365,0.524,9.669,2351.074,0.384,1.064,0.249,36.952,1328.448,0.696,0.452,10,1.639,2.1
5573.67,0.173,1.048,0.351,0.513,9.742,2648.687,0.362,1.036,0.252,36.581,1232.566,0.704,-3.13,9,0,0
5183.931,0.191,1.293,0.348,0.481,11.642,2158.143,0.265,2.462,0.296,35.684,1251.828,0.354,1.142,9,1.049,1.75
5508.561,0.118,1.113,0.265,0.501,9.934,2658.069,0.262,1.712,0.212,32.041,1262.73,0.511,0.685,10,1.347,2
5740.015,0.148,2.193,0.384,0.444,9.763,2654.236,0.269,3.455,0.224,33.484,1462.106,0.112,2.087,10,0.611,1.4
4209.85,0.161,2.626,0.349,0.458,10.15,2593.179,0.226,1.08,0.26,32.204,1250.643,0.691,0.787,10,1.219,1.8
5908.258,0.174,2.109,0.39,0.581,9.998,2396.28,0.3,3.024,0.255,31.835,1360.196,0.162,2.065,8,0.608,1.4
5074.898,0.177,1.032,0.235,0.362,11.461,2690.404,0.252,1.196,0.255,33.811,1200.914,0.658,-2.597,11,0,0
6102.455,0.154,1.001,0.339,0.516,10.137,2411.133,0.308,3.262,0.239,35.405,1448.895,0.5,2.959,5,0.468,1.05
5877.248,0.148,2.052,0.389,0.48,8.837,2117.688,0.337,3.15,0.259,32.169,1310.884,0.126,2.206,9,0.57,1.45
5072.463,0.152,1.089,0.306,0.379,10.015,2544.385,0.256,1.007,0.219,35.52,1272.741,0.712,0.354,9,1.631,2
5078.229,0.145,2.788,0.366,0.48,8.885,2427.923,0.306,1.603,0.244,32.622,1210.219,0.542,1.271,8,0.951,1.65
6205.005,0.183,1.122,0.226,0.51,11.353,2521.465,0.465,2.44,0.234,32.323,1205.074,0.55,0.779,11,1.246,1.85
4380.006,0.158,1.759,0.365,0.439,9.948,2600.567,0.275,3.391,0.248,34.713,1288.918,0.245,1.384,8,0.902,1.65
6865.345,0.157,1.423,0.319,0.477,10.263,2673.405,0.291,1.65,0.253,31.85,1314.752,0.529,1.285,8,0.951,1.65
