max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET
5706.072,0.149,1.037,0.324,0.482,9.859,2682.509,0.285,1.069,0.243,33.787,1227.557,0.695,-1.664,7,0,0
5788.161,0.144,2.009,0.338,0.479,10.032,2578.552,0.299,3.584,0.245,32.332,1494.064,0.089,2.457,2,0.452,1.3
5791.506,0.149,1.949,0.347,0.49,9.868,2464.602,0.312,3.518,0.257,33.885,1494.519,0.045,3.721,2,0.275,0.85
5796.823,0.148,2.01,0.352,0.482,9.855,2456.108,0.304,3.516,0.259,34.84,1492.202,0.036,2.887,3,0.37,1.15
5790.593,0.149,1.014,0.351,0.482,9.859,2682.509,0.303,1.001,0.244,33.783,1494.108,0.714,1.023,4,1.108,1.7
4242.523,0.149,1.368,0.355,0.363,10.196,2683.612,0.257,3.368,0.26,33.885,1229.614,0.316,1.47,10,0.851,1.65
5826.686,0.147,1.042,0.347,0.48,9.987,2682.048,0.313,1.037,0.257,32.54,1232.934,0.704,-1.051,6,0,0
5790.489,0.149,1.007,0.351,0.482,9.859,2682.509,0.285,1.069,0.244,33.783,1229.413,0.695,0.201,5,1.845,2.2
5685.077,0.152,1.01,0.346,0.362,9.861,2641.113,0.253,1.533,0.264,32.664,1212.719,0.562,0.92,9,1.161,1.8
5680.077,0.149,2.044,0.349,0.441,10.235,2596.713,0.265,3.576,0.245,33.85,1421.29,0.118,2.202,7,0.57,1.35
5805.241,0.147,1.01,0.346,0.362,9.841,2695.285,0.268,1.7,0.247,32.23,1224.093,0.514,0.995,8,1.113,1.8
5793.456,0.152,1.727,0.347,0.442,10.397,2592.933,0.302,3.515,0.257,32.544,1312.503,0.136,2.106,6,0.593,1.4
5844.845,0.151,2.014,0.356,0.476,10.081,2596.842,0.303,3.516,0.244,33.849,1422.344,0.08,2.458,5,0.484,1.3
5788.161,0.149,2.009,0.338,0.479,9.858,2578.552,0.299,3.584,0.245,33.805,1494.064,0.073,3.533,2,0.3,0.9
5769.273,0.149,1.71,0.356,0.442,10.365,2608.895,0.286,3.515,0.263,32.058,1265.697,0.156,1.78,8,0.698,1.55
5791.994,0.153,1.974,0.346,0.48,9.863,2695.03,0.302,3.567,0.253,32.167,1209.85,0.193,1.704,3,0.72,1.55
5796.823,0.146,2.01,0.354,0.482,10.362,2455.224,0.304,3.516,0.259,34.84,1492.202,0.036,2.876,4,0.375,1.15
4307.829,0.149,1.368,0.355,0.363,9.864,2683.612,0.204,3.368,0.26,33.885,1229.614,0.32,1.477,9,0.844,1.7
5404.575,0.144,1.482,0.337,0.443,9.861,2682.153,0.29,3.467,0.249,32.296,1227.558,0.259,1.668,6,0.749,1.6
5813.078,0.147,1.099,0.357,0.333,9.87,2656.051,0.278,2.029,0.253,32.485,1216.632,0.451,1.17,6,1.014,1.75
5806.339,0.147,1.202,0.351,0.363,9.913,2696.108,0.286,3.438,0.255,34.8,1207.555,0.399,1.219,5,0.992,1.7
5805.886,0.147,1.05,0.346,0.323,9.863,2635.496,0.278,2.067,0.253,32.525,1215.812,0.475,1.143,6,1.034,1.75
5791.994,0.153,1.974,0.346,0.48,9.903,2694.341,0.266,3.599,0.253,32.178,1209.85,0.193,1.686,4,0.724,1.55
