max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
5148.873,0.151,1.954,0.357,0.34,10.155,2232.42,0.294,2.896,0.252,35.476,1508.581,0.32,-6.486,4,0.0,0.0,5.292
4449.626,0.151,1.794,0.352,0.336,10.158,2219.874,0.283,3.236,0.232,35.742,1508.138,0.328,-6.592,7,0.0,0.0,1.451
6611.228,0.151,1.285,0.364,0.322,11.155,2145.79,0.292,2.903,0.251,35.744,1501.458,0.358,-6.963,7,0.0,0.0,7.339
5008.368,0.144,1.481,0.344,0.498,9.146,2157.332,0.29,2.971,0.246,35.351,1331.814,0.259,-6.427,6,0.0,0.0,2.322
6624.51,0.153,1.963,0.358,0.523,10.158,2223.211,0.294,3.236,0.251,35.457,1508.544,0.142,-6.175,3,0.0,0.0,5.378
5429.126,0.151,1.275,0.364,0.331,10.155,2145.609,0.295,3.219,0.257,35.386,1505.396,0.363,-6.791,5,0.0,0.0,7.561
6579.325,0.151,1.93,0.364,0.451,11.249,2207.912,0.289,3.171,0.243,35.477,1501.771,0.134,-6.253,5,0.0,0.0,2.654
5414.527,0.146,1.995,0.35,0.326,10.152,2206.728,0.319,3.255,0.252,35.819,1509.013,0.348,-6.57,6,0.0,0.0,3.826
5411.323,0.144,1.548,0.339,0.434,10.152,2206.728,0.346,3.182,0.252,35.406,1534.024,0.226,-6.552,7,0.0,0.0,7.224
5417.356,0.149,1.963,0.359,0.342,10.158,2226.098,0.294,3.409,0.253,35.386,1505.563,0.316,-6.35,3,0.0,0.0,1.139
5292.111,0.151,1.297,0.364,0.322,9.084,2163.794,0.294,3.875,0.252,35.815,1330.988,0.356,-6.895,8,0.0,0.0,3.802
5418.455,0.151,1.963,0.363,0.528,10.158,2226.016,0.298,3.217,0.249,35.771,1505.563,0.081,-6.252,5,0.0,0.0,5.055
5416.787,0.147,1.311,0.363,0.321,9.984,2191.791,0.294,3.407,0.247,36.457,1508.584,0.358,-6.556,5,0.0,0.0,2.451
5417.219,0.149,1.285,0.363,0.331,10.155,2145.609,0.303,3.384,0.257,35.743,1505.43,0.358,-6.845,6,0.0,0.0,1.298
5412.328,0.144,1.963,0.359,0.342,10.158,2226.56,0.294,3.409,0.253,35.386,1329.913,0.316,-6.387,4,0.0,0.0,4.08
5422.282,0.149,1.963,0.363,0.521,10.158,2303.418,0.294,3.409,0.241,35.386,1505.563,0.065,-6.011,3,0.0,0.0,1.111
5217.298,0.151,1.79,0.35,0.515,8.786,2232.283,0.292,3.422,0.248,35.998,1510.02,0.121,-6.403,6,0.0,0.0,0.0
5426.005,0.151,1.963,0.364,0.345,10.155,2222.997,0.294,2.895,0.243,35.732,1501.008,0.31,-6.467,5,0.0,0.0,6.053
5417.356,0.148,1.995,0.359,0.326,10.158,2226.098,0.294,3.409,0.253,35.385,1505.563,0.348,-6.355,3,0.0,0.0,4.979
5666.26,0.149,1.963,0.363,0.339,10.158,2306.044,0.294,3.564,0.258,36.283,1501.024,0.322,-6.49,5,0.0,0.0,0.474
5720.493,0.145,1.962,0.335,0.5,9.986,2222.984,0.295,3.402,0.251,35.294,1505.674,0.075,-6.119,2,0.0,0.0,1.384
5570.884,0.151,1.962,0.364,0.51,9.955,2294.028,0.295,3.403,0.243,35.479,1505.59,0.046,-5.953,2,0.0,0.0,2.056
5436.571,0.153,1.963,0.368,0.521,10.155,2222.273,0.295,3.219,0.251,35.386,1507.734,0.08,-6.208,4,0.0,0.0,7.185
5429.126,0.151,1.275,0.364,0.331,10.155,2145.609,0.295,3.219,0.231,35.386,1505.396,0.363,-7.17,6,0.0,0.0,9.119
5433.043,0.151,1.184,0.361,0.331,10.155,2146.456,0.303,3.386,0.251,35.663,1505.59,0.408,-6.981,4,0.0,0.0,4.155
5416.787,0.147,1.301,0.363,0.339,9.984,2192.087,0.238,3.407,0.247,36.457,1508.584,0.35,-6.672,6,0.0,0.0,6.266
6650.441,0.151,1.301,0.283,0.345,9.048,2222.83,0.295,3.144,0.246,35.675,1500.63,0.35,-6.828,7,0.0,0.0,4.697
5589.915,0.15,1.962,0.364,0.491,10.158,2314.984,0.294,3.405,0.249,35.293,1497.561,0.04,-5.943,2,0.0,0.0,2.044
5582.625,0.151,1.964,0.363,0.502,10.156,2337.334,0.296,3.41,0.247,35.463,1501.614,0.037,-4.498,2,0.0,0.0,3.538
6622.6,0.125,1.552,0.28,0.512,11.339,2141.149,0.303,3.124,0.285,36.082,1500.934,0.224,-6.539,9,0.0,0.0,1.983
5913.666,0.106,1.814,0.301,0.391,8.088,2352.05,0.355,3.461,0.283,35.512,1598.463,0.293,-6.418,10,0.0,0.0,3.426
6347.073,0.134,1.251,0.321,0.313,8.994,2279.809,0.303,3.346,0.244,36.245,1634.091,0.375,-6.862,10,0.0,0.0,4.817
6256.556,0.133,1.251,0.243,0.313,9.982,2255.941,0.303,2.283,0.244,35.983,1634.091,0.375,-6.838,9,0.0,0.0,0.894
5797.863,0.15,1.262,0.348,0.308,9.973,2342.647,0.288,3.563,0.244,35.474,1587.135,0.384,-6.54,4,0.0,0.0,4.402
