max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
5102.24,0.185,1.994,0.364,0.571,11.114,2186.856,0.289,2.669,0.257,36.292,1506.624,0.237,-2.817,7,0.0,0.0,1.466
6114.423,0.155,1.793,0.336,0.473,10.712,2444.865,0.324,3.899,0.276,32.832,1610.43,0.114,1.503,10,0.137,0.25,3.612
4543.638,0.146,1.215,0.204,0.342,9.733,2151.753,0.25,2.352,0.252,35.613,1438.143,0.417,-6.63,9,0.0,0.0,2.051
6989.366,0.175,2.4,0.398,0.495,8.743,2201.43,0.263,2.958,0.218,35.316,1447.349,0.205,-5.483,10,0.0,0.0,1.293
5153.645,0.152,2.121,0.354,0.429,11.069,2681.656,0.248,3.459,0.275,36.397,1258.68,0.173,-3.452,9,0.0,0.0,2.438
6718.43,0.174,1.665,0.252,0.36,9.287,2207.131,0.367,3.654,0.238,35.813,1247.139,0.28,-6.5,12,0.0,0.0,2.056
5229.368,0.102,1.494,0.356,0.378,9.883,2668.843,0.288,2.362,0.248,35.365,1619.964,0.325,-4.134,7,0.0,0.0,2.342
4492.967,0.148,1.804,0.386,0.479,11.167,2364.685,0.277,3.001,0.299,36.203,1605.031,0.225,-6.193,9,0.0,0.0,0.703
4751.675,0.135,1.931,0.337,0.521,8.168,2636.833,0.317,2.936,0.254,35.313,1239.261,0.183,0.9,6,0.196,0.3,2.956
6012.588,0.155,1.902,0.379,0.545,10.467,2546.572,0.265,3.548,0.276,35.343,1283.308,0.144,-0.734,9,0.0,0.0,4.513
5429.229,0.188,1.398,0.251,0.332,11.127,2073.17,0.221,3.608,0.209,35.503,1357.291,0.336,-6.64,10,0.0,0.0,4.793
5821.275,0.143,2.267,0.348,0.503,9.724,2136.563,0.453,1.02,0.292,36.427,1262.504,0.709,-5.324,8,0.0,0.0,0.72
6111.439,0.135,2.418,0.354,0.521,10.508,2397.87,0.232,3.241,0.214,35.403,1328.725,0.227,-4.034,8,0.0,0.0,2.336
5052.269,0.138,1.973,0.314,0.415,8.083,2051.354,0.352,2.842,0.225,35.596,1434.015,0.192,-3.922,10,0.0,0.0,4.588
6332.808,0.102,1.093,0.283,0.319,9.091,2104.196,0.308,2.954,0.265,36.658,1453.725,0.454,-6.933,11,0.0,0.0,5.755
6254.366,0.144,1.942,0.307,0.465,10.052,2081.016,0.35,3.449,0.276,35.999,1521.623,0.167,-1.326,8,0.0,0.0,4.086
5357.868,0.132,2.023,0.303,0.482,8.483,2093.631,0.3,3.243,0.209,35.811,1535.12,0.164,-2.598,9,0.0,0.0,1.662
6252.593,0.146,2.124,0.366,0.446,9.833,2383.206,0.258,3.746,0.211,36.15,1582.95,0.156,-5.889,11,0.0,0.0,3.286
4758.02,0.108,1.651,0.354,0.372,11.825,2092.155,0.303,2.666,0.279,35.876,1583.764,0.28,-6.427,10,0.0,0.0,5.9
5790.359,0.143,1.952,0.216,0.493,8.4,2374.952,0.211,3.637,0.206,35.638,1464.449,0.383,-5.083,7,0.0,0.0,1.333
4930.382,0.129,1.351,0.254,0.345,10.298,2066.092,0.348,3.459,0.277,36.594,1559.018,0.325,-6.824,11,0.0,0.0,1.395
6341.576,0.183,1.036,0.314,0.328,10.132,2064.349,0.328,2.957,0.255,36.654,1414.799,0.482,-6.954,10,0.0,0.0,5.71
6739.427,0.137,1.896,0.269,0.409,8.324,2427.327,0.294,3.668,0.252,36.52,1242.818,0.231,-6.317,10,0.0,0.0,3.279
6581.556,0.145,2.268,0.242,0.395,10.794,2407.147,0.321,3.556,0.24,36.159,1309.326,0.309,-4.347,8,0.0,0.0,3.165
4612.659,0.178,2.056,0.346,0.301,11.614,2105.31,0.305,2.965,0.256,35.875,1578.811,0.398,-6.138,8,0.0,0.0,2.202
4650.468,0.147,2.068,0.249,0.515,10.254,2073.697,0.235,3.608,0.284,35.346,1490.409,0.289,-3.08,7,0.0,0.0,1.816
5189.918,0.145,1.673,0.343,0.512,11.115,2482.364,0.308,3.272,0.232,36.522,1414.415,0.163,1.042,8,0.187,0.3,4.621
5033.298,0.143,1.319,0.345,0.488,11.738,2461.203,0.201,3.464,0.28,36.603,1246.98,0.341,-5.542,8,0.0,0.0,0.418
5611.612,0.11,1.768,0.259,0.353,9.769,2332.801,0.23,3.884,0.275,36.275,1533.867,0.294,-6.253,12,0.0,0.0,4.502
