max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
4634.455,0.146,2.054,0.336,0.376,11.57,2304.285,0.372,3.47,0.252,35.922,1346.551,0.248,-6.257,7,0.0,0.0,3.117
6546.939,0.167,2.12,0.354,0.368,11.608,2148.583,0.366,3.484,0.249,35.717,1466.679,0.264,-6.285,9,0.0,0.0,2.362
6381.049,0.156,2.008,0.355,0.363,10.283,2173.292,0.328,3.539,0.245,35.686,1453.87,0.274,-6.339,6,0.0,0.0,4.171
6410.412,0.156,2.03,0.355,0.462,10.071,2174.394,0.334,3.6,0.245,35.662,1498.295,0.113,-6.092,4,0.0,0.0,2.108
5783.933,0.156,2.03,0.343,0.465,10.131,2214.916,0.296,3.543,0.252,35.962,1500.586,0.079,-3.971,3,0.0,0.0,3.839
6422.265,0.103,1.299,0.344,0.36,11.527,2141.265,0.328,3.74,0.252,35.75,1502.925,0.351,-7.047,9,0.0,0.0,3.02
5777.703,0.155,1.071,0.356,0.395,11.566,2175.749,0.326,3.512,0.244,35.688,1502.154,0.465,-7.004,5,0.0,0.0,7.178
6434.192,0.103,1.375,0.355,0.347,11.517,2141.248,0.331,3.238,0.252,35.989,1502.927,0.313,-6.629,9,0.0,0.0,0.0
5768.512,0.156,1.31,0.354,0.366,11.529,2141.976,0.322,3.512,0.249,35.788,1500.567,0.345,-6.889,6,0.0,0.0,5.06
5747.509,0.156,1.978,0.355,0.511,10.113,2176.713,0.286,3.598,0.245,35.956,1495.978,0.095,-5.01,3,0.0,0.0,3.023
5787.033,0.141,1.348,0.355,0.366,10.059,2141.976,0.291,3.601,0.244,35.702,1500.466,0.326,-6.652,4,0.0,0.0,2.063
6410.631,0.156,2.028,0.355,0.465,10.131,2214.916,0.296,3.509,0.252,35.753,1500.586,0.105,-5.908,4,0.0,0.0,2.041
