max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
4605.966,0.191,1.226,0.377,0.374,8.826,2516.762,0.374,3.803,0.257,36.671,1453.476,0.387,-1.812,11,0,0,2.26
6972.576,0.13,1.685,0.293,0.302,9.31,2216.526,0.303,3.537,0.261,33.837,1381.328,0.396,5.794,10,0,0,1.84
6058.106,0.113,2.998,0.258,0.422,9.8,2437.612,0.352,2.879,0.277,34.044,1329.621,0.499,7.074,12,0,0,1.834
5846.628,0.179,1.426,0.348,0.313,8.325,2138.632,0.419,1.719,0.216,36.205,1482.69,0.509,1.148,11,0.163,0.25,4.311
5664.554,0.116,1.767,0.295,0.586,8.626,2224.108,0.242,3.193,0.254,32.421,1484.862,0.227,6.255,11,0,0,0.599
6627.156,0.159,2.009,0.218,0.32,10.326,2419.317,0.415,3.068,0.265,33.038,1504.781,0.383,7.304,10,0,0,3.034
5139.61,0.12,2.062,0.249,0.44,11.537,2660.108,0.216,1.224,0.262,34.086,1259.811,0.65,5.544,11,0,0,2.293
5133.006,0.11,1.664,0.215,0.498,8.5,2535.177,0.318,2.065,0.277,31.917,1479.347,0.41,5.235,10,0,0,3.67
5124.218,0.152,2.724,0.325,0.321,10.288,2413.914,0.347,1.5,0.204,32.647,1641.467,0.571,7.115,10,0,0,1.303
5841.671,0.165,1.081,0.228,0.558,9.754,2496.166,0.324,2.453,0.258,36.215,1459.938,0.46,1.545,12,0.144,0.25,3.239
5139.612,0.154,2.544,0.367,0.3,9.032,2180.641,0.335,2.008,0.224,36.644,1224.294,0.426,1.996,11,0.1,0.25,4.876
6423.436,0.182,1.598,0.372,0.547,11.615,2359.868,0.391,2.233,0.228,35.037,1547.229,0.362,5.993,12,0,0,2.278
4224.463,0.155,1.473,0.208,0.529,9.925,2107.624,0.499,1.255,0.227,36.377,1612.052,0.663,1.122,10,0.177,0.35,3.198
6985.217,0.181,2.317,0.359,0.45,9.447,2339.981,0.251,3.187,0.208,35.295,1635.639,0.207,2.241,10,0.073,0.15,2.942
5308.457,0.124,2.295,0.267,0.344,8.842,2629.052,0.333,1.023,0.219,34.95,1646.267,0.708,5.869,12,0,0,1.833
5577.362,0.197,2.497,0.228,0.537,10.59,2182.669,0.246,3.103,0.238,33.622,1320.995,0.349,7.214,12,0,0,3.102
5936.963,0.131,2.491,0.24,0.304,9.798,2304.877,0.409,2.585,0.245,32.021,1541.363,0.392,7.251,11,0,0,2.683
5505.483,0.131,2.337,0.231,0.356,8.139,2132.903,0.201,2.532,0.234,34.698,1317.434,0.34,5.498,12,0,0,0.887
4236.233,0.15,2.302,0.31,0.508,10.058,2093.343,0.222,2.801,0.29,35.514,1411.284,0.27,0.829,8,0.194,0.25,4.018
4815.797,0.139,2.01,0.341,0.524,11.793,2401.431,0.491,3.289,0.207,33.029,1323.744,0.637,6.527,9,0,0,4.529
6219.016,0.195,1.011,0.383,0.497,10.113,2440.32,0.315,3.278,0.279,33.609,1256.804,0.495,3.953,9,0,0,2.111
4398.552,0.172,2.259,0.308,0.551,10.968,2177.525,0.421,1.195,0.267,33.133,1255.061,0.659,6.857,12,0,0,2.213
6187.589,0.107,2.54,0.39,0.41,10.661,2184.081,0.49,3.448,0.243,32.531,1254.872,0.633,6.616,10,0,0,4.873
5813.392,0.197,1.435,0.376,0.421,9.962,2481.047,0.478,2.579,0.2,33.455,1201.637,0.593,5.348,10,0,0,1.484
4391.282,0.199,2.381,0.303,0.542,9.677,2225.792,0.312,3.38,0.297,31.826,1314.995,0.327,7.393,11,0,0,2.509
5684.606,0.198,2.992,0.337,0.33,11.124,2091.091,0.288,3.749,0.22,31.784,1473.509,0.496,6.27,10,0,0,3.381
4793.62,0.116,1.157,0.292,0.58,8.521,2476.447,0.469,1.429,0.246,34.311,1544.63,0.592,3.303,11,0.006,0.15,3.986
5462.259,0.158,1.329,0.313,0.57,8.014,2441.025,0.271,1.719,0.273,36.655,1593.294,0.509,1.506,12,0.095,0.25,2.976
5506.98,0.127,1.388,0.378,0.566,8.105,2607.735,0.287,3.728,0.295,33.818,1439.503,0.306,2.801,11,0.046,0.15,5.467
4210.85,0.12,2.339,0.22,0.575,8.355,2577.398,0.438,3.804,0.285,35.302,1284.964,0.46,0.546,11,0.209,0.4,3.051
6061.374,0.138,2.131,0.218,0.38,11.329,2484.054,0.243,2.123,0.283,32.391,1236.336,0.393,3.834,12,0,0,2.252
6043.152,0.1,1.179,0.353,0.505,11.91,2059.234,0.316,3.851,0.25,31.95,1302.261,0.41,2.695,8,0.051,0.2,3.357
5215.83,0.143,2.959,0.372,0.371,11.189,2063.569,0.384,2.778,0.217,32.302,1240.965,0.48,7.009,11,0,0,2.048
5888.35,0.111,2.145,0.366,0.506,10.887,2115.587,0.394,1.99,0.204,36.429,1637.404,0.431,0.958,11,0.173,0.3,3.522
4549.539,0.164,1.795,0.396,0.435,10.237,2182.792,0.2,2.183,0.281,35.946,1528.16,0.376,0.595,12,0.221,0.3,2.82
6139.992,0.154,1.295,0.387,0.591,11.654,2613.261,0.36,2.006,0.219,32.335,1488.937,0.427,5.084,11,0,0,2.402
4963.732,0.193,2.085,0.277,0.522,11.48,2273.782,0.449,1.977,0.23,36.291,1483.535,0.497,1.293,11,0.141,0.25,4.634
5665.104,0.131,2.899,0.249,0.435,9.771,2562.331,0.21,2.69,0.208,36.152,1513.22,0.45,2.662,12,0.06,0.2,1.683
4637.059,0.115,2.983,0.221,0.417,10.705,2589.854,0.482,1.755,0.213,33.061,1564.028,0.607,7.539,12,0,0,3.567
6812.795,0.159,2.264,0.374,0.379,10.656,2088.162,0.374,1.041,0.297,34.331,1294.507,0.703,6.153,12,0,0,1.964
4335.185,0.142,2.395,0.35,0.451,8.624,2473.556,0.24,1.54,0.3,36.075,1350.399,0.56,1.256,11,0.157,0.25,4.542
5373.587,0.116,2.954,0.218,0.536,11.731,2206.044,0.398,2.954,0.22,34.344,1345.379,0.477,6.271,12,0,0,2.923
6342.532,0.159,1.145,0.3,0.467,11.084,2527.747,0.364,1.339,0.299,35.089,1484.719,0.617,5.046,12,0,0,1.778
5451.817,0.168,2.475,0.246,0.307,10.37,2648.996,0.446,3.467,0.264,33.39,1519.512,0.487,6.404,11,0,0,3.245
6589.895,0.17,1.888,0.261,0.508,9.43,2421.362,0.204,3.621,0.233,32.173,1418.584,0.32,6.474,11,0,0,2.503
4547.43,0.178,1.163,0.334,0.405,10.281,2099.203,0.216,1.017,0.263,33.102,1476.183,0.709,5.58,12,0,0,3.748
6676.909,0.134,1.404,0.321,0.374,11.679,2655.1,0.361,2.559,0.259,32.488,1285.218,0.298,6.912,12,0,0,2.391
4403.004,0.105,1.842,0.295,0.435,10.207,2316.349,0.466,1.481,0.212,33.586,1591.467,0.577,6.653,12,0,0,4.413
5155.632,0.195,2.154,0.391,0.565,8.027,2278.708,0.434,2.221,0.29,33.164,1346.018,0.447,6.797,12,0,0,2.102
6312.671,0.157,1.722,0.283,0.365,8.719,2164.129,0.282,2.472,0.249,33.94,1390.516,0.294,2.249,9,0.094,0.2,4.604
5066.959,0.195,2.422,0.379,0.561,10.461,2515.915,0.368,1.335,0.296,33.391,1388.203,0.619,5.964,12,0,0,3.646
6510.141,0.155,1.888,0.318,0.419,8.327,2288.973,0.321,2.438,0.21,31.838,1376.551,0.303,5.583,10,0,0,2.863
6606.793,0.154,1.961,0.351,0.499,11.452,2075.808,0.425,1.484,0.28,33.062,1319.372,0.576,7.172,8,0,0,2.21
5906.578,0.199,1.995,0.208,0.494,11.583,2150.55,0.228,2.98,0.227,36.692,1642.402,0.406,-4.229,10,0,0,5.71
6056.802,0.176,1.418,0.324,0.486,9.193,2347.181,0.455,1.484,0.258,33.089,1332.536,0.576,6.783,11,0,0,3.562
6337.808,0.121,1.059,0.32,0.507,8.705,2289.323,0.4,1.186,0.284,32.299,1463.955,0.661,6.214,11,0,0,4.091
5282.079,0.101,2.443,0.282,0.462,10.401,2529.713,0.438,2.823,0.234,35.013,1435.227,0.46,6.288,12,0,0,2.016
6358.836,0.111,1.232,0.343,0.563,9.969,2655.415,0.33,2.52,0.259,36.162,1310.097,0.384,1.522,10,0.141,0.3,3.313
4569.734,0.126,2.675,0.319,0.563,11.538,2386.061,0.419,3.728,0.277,35.107,1304.976,0.397,3.199,12,0.01,0.1,3.179
4752.446,0.132,1.338,0.39,0.399,10.271,2544.635,0.394,3.838,0.256,32.723,1639.057,0.331,6.061,11,0,0,2.418
6533.462,0.135,2.241,0.338,0.595,11.275,2621.686,0.36,2.023,0.228,32.253,1379.824,0.422,6.644,11,0,0,3.648
5513.139,0.176,1.022,0.368,0.595,10.589,2659.752,0.296,2.387,0.29,32.263,1591.914,0.489,3.793,11,0,0,3.54
6224.821,0.144,1.508,0.38,0.305,8.841,2482.802,0.24,1.213,0.227,32.216,1522.026,0.653,5.399,11,0,0,3.157
6602.66,0.181,2.177,0.393,0.365,11.969,2668.978,0.329,1.908,0.226,33.239,1642.794,0.455,6.912,12,0,0,3.91
6111.363,0.145,1.556,0.241,0.302,9.271,2674.576,0.434,1.309,0.273,32.435,1245.092,0.626,6.865,11,0,0,2.344
4342.85,0.12,2.702,0.205,0.46,9.083,2240.591,0.355,1.4,0.275,32.513,1458.454,0.6,7.04,12,0,0,4.176
6722.862,0.161,1.237,0.263,0.363,8.875,2106.036,0.39,1.679,0.262,36.307,1255.009,0.52,1.405,12,0.154,0.3,4.341
6737.334,0.17,2.205,0.221,0.366,8.235,2540.625,0.367,1.412,0.266,36.234,1292.438,0.597,-0.001,12,0,0,3.865
4656.359,0.104,1.359,0.355,0.302,11.036,2224.548,0.335,1.704,0.29,32.123,1381.929,0.513,6.954,11,0,0,4.852
